#(This file contains Japanese character set JISX0208.)

# 
# Optional Japanese Kanji Font (JISX0208) List
#    The following is a list of Japanese Kanji font files in TrueType format 
#

#      L     M     B     E     H
#  W:  3  4  5  6  7  8  9 10 11 12 
#      m  o  p     s     v     x  z


# FONT-NAME                             FILE-NAME	TeX-FONT-NAME

### 富士通 FontCity 2
創英ペン字体				hgrpn1sj.ttc	rcspnmaa
白州ペン楷書体				hgrhkpsj.ttc	rchkpmaa
創英角ポップ体				hgrpp1sj.ttc	rcppkvaa
創英丸ポップ体				hgrpp2sj.ttc	rcppmvaa
重ね角ゴシックH				hgragusj.ttc	rcaguxaa
重ね丸ゴシックH				hgrashsj.ttf	rcashxaa
プリティフランクH			hgrapsj.ttf	rcapfxaa
プリティフランクHライン			hgraplsj.ttf	rcaplxaa
プリティフランクHシャドウ		hgrapssj.ttf	rcapsxaa
江戸文字勘亭流				hgrkrsj.ttc	rckedxaa
関演芸文字				hgraesj.ttf	rcaegxaa
相撲文字				hgradhsj.ttc	rcadhxaa
ひげ文字				hgrah2sj.ttc	rchigxaa
篭字					hgrakgsj.ttc	rcakgxaa
れいしっく				hgrcresj.ttc	rccremaa
ブーケ					hgrcbsj.ttc	rccbkpaa
メタル角ゴシックE			hgramgsj.ttc	rcamgvaa
インライン角ゴシックH			hgraigsj.ttc	rcaigxaa
インライン丸ゴシックE			hgraissj.ttc	rcaisxaa
武蔵野丸ゴシックH			hgrtsesj.ttc	rctsexaa
平成明朝体W3				hgrhm3sj.ttc	rchmnmaa
平成明朝体W9				hgrhm9sj.ttc	rchmnvaa
平成角ゴシック体W5			hgrhg5sj.ttc	rchgopaa
平成角ゴシック体W9			hgrhg9sj.ttc	rchgovaa
平成角ゴシック体W9ライン		hgrg9lsj.ttf	rchglvaa
平成角ゴシック体W9シャドウ		hgrg9ssj.ttf	rchgsvaa
平成丸ゴシック体W4			hgrhr4sj.ttc	rchrgoaa
GFカットコレクション風物編		gfrcg1sj.ttf	rcrcgmaa

# みかちゃんフォント
みかちゃん      			mikachan.ttf    mikpnmaa
みかちゃんプロポーショナル		mikachan-P.ttf  mikppmaa
みかちゃんプロポーショナル太		mikachan-PB.ttf mikpppaa
みかちゃんプロポーショナルＳ		mikachan-PS.ttf mikpsmaa

# ことり文字フォント
ことり文字				kotori.ttf	kotppmaa
ことり文字細				kotori-hoso.ttf	kotppkaa

#EOF
